Gen,T4T,G,AC,AD
1,2.0,0.0,96.0,2.0
2,4.0,0.0,92.0,4.0
3,5.0,0.0,87.0,8.0
4,5.0,0.0,82.0,13.0
5,5.0,0.0,77.0,18.0
6,5.0,0.0,72.0,23.0
7,5.0,0.0,67.0,28.000000000000004
8,5.0,0.0,62.0,33.0
9,5.0,0.0,56.99999999999999,38.0
10,5.0,0.0,52.0,43.0
11,5.0,0.0,47.0,48.0
12,5.0,0.0,42.0,53.0
13,5.0,0.0,37.0,57.99999999999999
14,5.0,0.0,32.0,63.0
15,5.0,0.0,27.0,68.0
16,5.0,0.0,22.0,73.0
17,5.0,0.0,17.0,78.0
18,5.0,0.0,12.0,83.0
19,5.0,0.0,7.000000000000001,88.0
20,5.0,0.0,2.0,93.0
