Gen,T4T,G,AC,AD
1,34.0,0.0,28.000000000000004,38.0
2,34.0,0.0,23.0,43.0
3,34.0,0.0,18.0,48.0
4,34.0,0.0,13.0,53.0
5,39.0,0.0,8.0,53.0
6,44.0,0.0,3.0,53.0
7,49.0,0.0,0.0,51.0
8,54.0,0.0,0.0,46.0
9,59.0,0.0,0.0,41.0
10,64.0,0.0,0.0,36.0
11,69.0,0.0,0.0,31.0
12,74.0,0.0,0.0,26.0
13,79.0,0.0,0.0,21.0
14,84.0,0.0,0.0,16.0
15,89.0,0.0,0.0,11.0
16,94.0,0.0,0.0,6.0
17,99.0,0.0,0.0,1.0
18,100.0,0.0,0.0,0.0
19,100.0,0.0,0.0,0.0
20,100.0,0.0,0.0,0.0
