Gen,T4T,G,AC,AD
1,1122.0,0.0,990.0,1291.0
2,1067.0,0.0,915.0,1191.0
3,1012.0,0.0,840.0,1091.0
4,957.0,0.0,765.0,991.0
5,902.0,0.0,690.0,891.0
6,902.0,0.0,690.0,811.0
7,902.0,0.0,0.0,731.0
8,924.0,0.0,0.0,691.0
9,979.0,0.0,0.0,711.0
10,1034.0,0.0,0.0,731.0
11,1089.0,0.0,0.0,751.0
12,1144.0,0.0,0.0,771.0
13,1199.0,0.0,0.0,791.0
14,1254.0,0.0,0.0,811.0
15,1309.0,0.0,0.0,831.0
16,1364.0,0.0,0.0,851.0
17,1419.0,0.0,0.0,871.0
18,1474.0,0.0,0.0,0.0
19,1485.0,0.0,0.0,0.0
20,1485.0,0.0,0.0,0.0
