Gen,T4T,G,AC,AD
1,1.0,34.0,28.000000000000004,37.0
2,1.0,34.0,23.0,42.0
3,1.0,34.0,18.0,47.0
4,1.0,34.0,13.0,52.0
5,1.0,39.0,8.0,52.0
6,1.0,44.0,3.0,52.0
7,1.0,49.0,0.0,50.0
8,1.0,54.0,0.0,45.0
9,1.0,59.0,0.0,40.0
10,1.0,64.0,0.0,35.0
11,1.0,69.0,0.0,30.0
12,1.0,74.0,0.0,25.0
13,1.0,79.0,0.0,20.0
14,1.0,84.0,0.0,15.0
15,1.0,89.0,0.0,10.0
16,1.0,94.0,0.0,5.0
17,1.0,99.0,0.0,0.0
18,2.0,98.0,0.0,0.0
19,3.0,97.0,0.0,0.0
20,4.0,96.0,0.0,0.0
