p,T4T,G,AC,AD,Total
0,25,25,25,25,
2,26,26,23,25,
4,26,28,21,25,
6,27,29,19,25,
8,28,30,17,25,
10,28,32,15,25,
12,29,33,13,25,
14,31,33,11,25,
16,34,32,9,25,
18,30,38,7,25,
20,35,35,5,25,
22,38,34,3,25,
24,39,35,1,25,
26,38,38,0,24,
28,38,40,0,22,
30,40,40,0,20,
32,41,41,0,18,
34,42,42,0,16,
36,43,43,0,14,
38,41,47,0,12,
